MO_ULR18_,MO_ULR18_I,CODIGO_VEN,COD_VEN,CLASE_U,DEST,DESTA,DESTAA,DESTAAA,FUENTE,PROFILE_ID,ID_REALA,ID_REALA_NUM,POINT_X,POINT_Y
374,374,851,851 VEN 1970 PO 214,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,851 VEN 1970 PO 214,851,160,-69.04093231340,8.69959667330
375,375,850,850 VEN 1970 PO 213,III,Entisoles,Psamments,Udipsamments,Typic Udipsamments,INIA,850 VEN 1970 PO 213,850,161,-69.01943490080,8.68587546724
376,376,848,848 VEN 1970 PO 211,IV,Inceptisoles,Tropepts,Ustropepts,Vertic Ustropepts,INIA,848 VEN 1970 PO 211,848,162,-68.99382094290,8.68084449765
377,377,853,853 VEN 1970 PO 216,IV,Alfisoles,Aqualfs,Endoaqualfs,Typic Endoaqualfs,INIA,853 VEN 1970 PO 216,853,163,-69.00022419530,8.66940960591
378,378,852,852 VEN 1970 PO 215,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,852 VEN 1970 PO 215,852,164,-69.07523551550,8.62412755442
379,379,614,614 VEN 1970 PO 109,III,Alfisoles,Aqualfs,Endoaqualfs,,INIA,614 VEN 1970 PO 109,614,165,-69.47419494990,9.20559512850
380,380,611,611 VEN 1970 PO 106,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,611 VEN 1970 PO 106,611,166,-69.46556012170,9.21367916223
381,381,917,917 VEN 1988 PO 230,II,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,917 VEN 1988 PO 230,917,167,-69.45784383570,9.20577916694
382,382,617,617 VEN 1970 PO 112,III,Entisoles,Fluvents,Udifluvents,Typic Udifluvents,INIA,617 VEN 1970 PO 112,617,168,-69.42528428040,9.19801139244
383,383,618,618 VEN 1970 PO 113,IV,Alfisoles,Aqualfs,Endoaqualfs,Typic Endoaqualfs,INIA,618 VEN 1970 PO 113,618,169,-69.39949300400,9.16661463167
384,384,619,619 VEN 1970 PO 114,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,619 VEN 1970 PO 114,619,170,-69.31959676350,9.12036111907
385,385,601,601 VEN 1970 PO 96,III,Ultisoles,Ustults,Haplustults,Typic Haplustults,INIA,601 VEN 1970 PO 96,601,171,-69.41771580940,9.23459497756
386,386,603,603 VEN 1970 PO 98,IV,Inceptisoles,Ochrepts,Dystrochrepts,Typic Dystrochepts,INIA,603 VEN 1970 PO 98,603,172,-69.37636710850,9.29767055996
